order_id,fecha_pedido,producto_categoria,zona_destino,carrier,peso_kg,valor_mercaderia,costo_envio,dias_prometidos,estado,dias_reales,entrega_a_tiempo,fecha_entrega,mes,trimestre,semana
ORD-00013,2023-01-02 18:03:23.080616,Farmacia,GBA Oeste,PickIt,5.54,180.12,853.24,5,Demorado,5,True,2023-01-07 18:03:23.080616,1,1,1
ORD-00014,2023-01-02 21:33:40.004000,Indumentaria,GBA Sur,Rappi Envíos,2.72,583.47,1628.94,3,Entregado,1,True,2023-01-03 21:33:40.004000,1,1,1
ORD-00015,2023-01-03 01:03:56.927385,Ferretería,Córdoba,Correo Argentino,3.87,921.03,1776.47,3,Entregado,4,False,2023-01-07 01:03:56.927385,1,1,1
ORD-00016,2023-01-03 04:34:13.850770,Indumentaria,GBA Norte,Correo Argentino,0.61,2389.9,1086.41,3,Entregado,4,False,2023-01-07 04:34:13.850770,1,1,1
ORD-00017,2023-01-03 08:04:30.774154,Ferretería,Córdoba,Andreani,10.0,680.56,216.14,3,Entregado,5,False,2023-01-08 08:04:30.774154,1,1,1
ORD-00018,2023-01-03 11:34:47.697539,Farmacia,Córdoba,Rappi Envíos,1.55,834.52,371.21,5,Entregado,5,True,2023-01-08 11:34:47.697539,1,1,1
ORD-00019,2023-01-03 15:05:04.620924,Electrónica,GBA Sur,Andreani,3.18,1883.68,2137.16,2,Entregado,2,True,2023-01-05 15:05:04.620924,1,1,1
ORD-00020,2023-01-03 18:35:21.544308,Ferretería,GBA Oeste,Correo Argentino,0.1,1786.65,282.89,5,Entregado,4,True,2023-01-07 18:35:21.544308,1,1,1
ORD-00021,2023-01-03 22:05:38.467693,Indumentaria,Córdoba,PickIt,0.41,1000.52,1541.25,2,Demorado,1,True,2023-01-04 22:05:38.467693,1,1,1
ORD-00022,2023-01-04 01:35:55.391078,Farmacia,GBA Oeste,OCA,4.57,810.1,581.72,7,Devuelto,6,True,2023-01-10 01:35:55.391078,1,1,1
ORD-00023,2023-01-04 05:06:12.314462,Ferretería,CABA,Correo Argentino,10.32,2805.41,687.98,2,Entregado,1,True,2023-01-05 05:06:12.314462,1,1,1
ORD-00024,2023-01-04 08:36:29.237847,Electrónica,Rosario,Rappi Envíos,1.16,805.56,792.33,5,Entregado,3,True,2023-01-07 08:36:29.237847,1,1,1
ORD-00025,2023-01-04 12:06:46.161232,Electrónica,GBA Oeste,Correo Argentino,0.11,333.82,239.98,3,Entregado,3,True,2023-01-07 12:06:46.161232,1,1,1
ORD-00026,2023-01-04 15:37:03.084616,Alimentos,GBA Norte,Rappi Envíos,1.34,739.22,566.5,1,Entregado,1,True,2023-01-05 15:37:03.084616,1,1,1
ORD-00027,2023-01-04 19:07:20.008001,Alimentos,Rosario,Rappi Envíos,0.1,1894.7,1678.67,3,Entregado,5,False,2023-01-09 19:07:20.008001,1,1,1
ORD-00028,2023-01-04 22:37:36.931386,Indumentaria,GBA Norte,Rappi Envíos,0.64,944.55,1321.99,7,Entregado,9,False,2023-01-13 22:37:36.931386,1,1,1
ORD-00029,2023-01-05 02:07:53.854770,Ferretería,Córdoba,Andreani,4.19,663.31,2023.72,2,Demorado,3,False,2023-01-08 02:07:53.854770,1,1,1
ORD-00030,2023-01-05 05:38:10.778155,Ferretería,Rosario,PickIt,8.3,312.69,293.92,2,Entregado,1,True,2023-01-06 05:38:10.778155,1,1,1
ORD-00031,2023-01-05 09:08:27.701540,Alimentos,GBA Oeste,Correo Argentino,0.27,949.62,2238.91,3,Entregado,2,True,2023-01-07 09:08:27.701540,1,1,1
ORD-00032,2023-01-05 12:38:44.624924,Ferretería,Rosario,PickIt,2.45,1377.34,2491.54,2,Entregado,1,True,2023-01-06 12:38:44.624924,1,1,1
ORD-00033,2023-01-05 16:09:01.548309,Ferretería,Córdoba,OCA,0.88,400.46,186.99,7,Entregado,8,False,2023-01-13 16:09:01.548309,1,1,1
ORD-00034,2023-01-05 19:39:18.471694,Electrónica,GBA Sur,Correo Argentino,0.45,907.52,2423.95,3,En tránsito,2,True,2023-01-07 19:39:18.471694,1,1,1
ORD-00035,2023-01-05 23:09:35.395079,Alimentos,GBA Norte,PickIt,0.74,367.27,704.28,3,Demorado,1,True,2023-01-06 23:09:35.395079,1,1,1
ORD-00036,2023-01-06 02:39:52.318463,Farmacia,Córdoba,PickIt,2.59,964.13,1777.48,2,Entregado,3,False,2023-01-09 02:39:52.318463,1,1,1
ORD-00037,2023-01-06 06:10:09.241848,Alimentos,GBA Sur,OCA,0.2,6157.93,837.34,2,Demorado,3,False,2023-01-09 06:10:09.241848,1,1,1
ORD-00038,2023-01-06 09:40:26.165233,Farmacia,Rosario,Rappi Envíos,1.71,1302.07,1376.26,2,Entregado,1,True,2023-01-07 09:40:26.165233,1,1,1
ORD-00039,2023-01-06 13:10:43.088617,Electrónica,Rosario,Correo Argentino,0.44,225.52,1349.48,3,En tránsito,3,True,2023-01-09 13:10:43.088617,1,1,1
ORD-00040,2023-01-06 16:41:00.012002,Indumentaria,Córdoba,Correo Argentino,0.96,1527.11,998.6,3,Entregado,6,False,2023-01-12 16:41:00.012002,1,1,1
ORD-00041,2023-01-06 20:11:16.935387,Ferretería,GBA Oeste,OCA,0.63,4071.69,1836.23,1,Entregado,2,False,2023-01-08 20:11:16.935387,1,1,1
ORD-00042,2023-01-06 23:41:33.858771,Electrónica,Rosario,Rappi Envíos,6.44,274.77,1559.15,5,Entregado,4,True,2023-01-10 23:41:33.858771,1,1,1
ORD-00043,2023-01-07 03:11:50.782156,Ferretería,GBA Oeste,Correo Argentino,3.69,385.49,1344.45,3,Entregado,5,False,2023-01-12 03:11:50.782156,1,1,1
ORD-00044,2023-01-07 06:42:07.705541,Indumentaria,GBA Oeste,Correo Argentino,6.09,1419.91,2459.67,2,Demorado,3,False,2023-01-10 06:42:07.705541,1,1,1
ORD-00045,2023-01-07 10:12:24.628925,Indumentaria,GBA Oeste,Correo Argentino,1.45,1005.14,2359.02,1,Entregado,3,False,2023-01-10 10:12:24.628925,1,1,1
ORD-00046,2023-01-07 13:42:41.552310,Electrónica,CABA,Rappi Envíos,1.13,3681.85,2395.27,1,Entregado,1,True,2023-01-08 13:42:41.552310,1,1,1
ORD-00047,2023-01-07 17:12:58.475695,Indumentaria,GBA Sur,OCA,1.44,915.4,2221.11,2,Devuelto,1,True,2023-01-08 17:12:58.475695,1,1,1
ORD-00048,2023-01-07 20:43:15.399079,Farmacia,GBA Sur,Correo Argentino,0.1,2503.51,749.62,3,Entregado,3,True,2023-01-10 20:43:15.399079,1,1,1
ORD-00049,2023-01-08 00:13:32.322464,Indumentaria,Rosario,PickIt,3.87,5054.85,972.44,5,Entregado,3,True,2023-01-11 00:13:32.322464,1,1,1
ORD-00050,2023-01-08 03:43:49.245849,Ferretería,Rosario,Rappi Envíos,1.29,460.55,692.98,7,Demorado,9,False,2023-01-17 03:43:49.245849,1,1,1
ORD-00051,2023-01-08 07:14:06.169233,Ferretería,GBA Oeste,Andreani,1.13,2316.17,2467.52,5,Demorado,4,True,2023-01-12 07:14:06.169233,1,1,1
ORD-00052,2023-01-08 10:44:23.092618,Ferretería,CABA,OCA,2.73,734.46,508.76,2,Entregado,2,True,2023-01-10 10:44:23.092618,1,1,1
ORD-00053,2023-01-08 14:14:40.016003,Ferretería,GBA Oeste,PickIt,1.72,119.67,1011.3,2,Entregado,5,False,2023-01-13 14:14:40.016003,1,1,1
ORD-00054,2023-01-08 17:44:56.939387,Farmacia,CABA,Correo Argentino,11.87,1765.83,617.75,7,Devuelto,6,True,2023-01-14 17:44:56.939387,1,1,1
ORD-00055,2023-01-08 21:15:13.862772,Alimentos,GBA Oeste,Andreani,1.32,1997.08,675.12,3,Entregado,3,True,2023-01-11 21:15:13.862772,1,1,1
ORD-00056,2023-01-09 00:45:30.786157,Electrónica,GBA Norte,OCA,2.85,232.93,730.66,2,Entregado,1,True,2023-01-10 00:45:30.786157,1,1,2
ORD-00057,2023-01-09 04:15:47.709541,Ferretería,GBA Norte,Rappi Envíos,1.12,696.5,1653.23,2,Entregado,2,True,2023-01-11 04:15:47.709541,1,1,2
ORD-00058,2023-01-09 07:46:04.632926,Indumentaria,Córdoba,Andreani,14.0,588.16,328.72,3,Entregado,3,True,2023-01-12 07:46:04.632926,1,1,2
ORD-00059,2023-01-09 11:16:21.556311,Ferretería,GBA Oeste,Andreani,1.77,2465.1,1495.45,3,Entregado,4,False,2023-01-13 11:16:21.556311,1,1,2
ORD-00060,2023-01-09 14:46:38.479695,Indumentaria,Rosario,PickIt,3.02,232.95,2075.32,5,En tránsito,7,False,2023-01-16 14:46:38.479695,1,1,2
ORD-00061,2023-01-09 18:16:55.403080,Indumentaria,GBA Sur,OCA,0.41,1220.19,1951.33,2,Entregado,2,True,2023-01-11 18:16:55.403080,1,1,2
ORD-00062,2023-01-09 21:47:12.326465,Ferretería,Córdoba,PickIt,3.96,105.67,505.25,1,Demorado,2,False,2023-01-11 21:47:12.326465,1,1,2
ORD-00063,2023-01-10 01:17:29.249849,Farmacia,Rosario,PickIt,0.94,1602.8,2299.62,3,Entregado,3,True,2023-01-13 01:17:29.249849,1,1,2
ORD-00064,2023-01-10 04:47:46.173234,Indumentaria,GBA Norte,Correo Argentino,1.79,1242.81,1959.71,2,Entregado,4,False,2023-01-14 04:47:46.173234,1,1,2
ORD-00065,2023-01-10 08:18:03.096619,Indumentaria,GBA Oeste,Rappi Envíos,6.44,657.89,162.46,3,Entregado,1,True,2023-01-11 08:18:03.096619,1,1,2
ORD-00066,2023-01-10 11:48:20.020004,Ferretería,Córdoba,Andreani,10.58,4574.7,1882.83,3,En tránsito,3,True,2023-01-13 11:48:20.020004,1,1,2
ORD-00067,2023-01-10 15:18:36.943388,Indumentaria,GBA Oeste,OCA,1.66,79.59,1882.94,2,Entregado,3,False,2023-01-13 15:18:36.943388,1,1,2
ORD-00068,2023-01-10 18:48:53.866773,Indumentaria,GBA Norte,Rappi Envíos,5.4,1076.9,1317.52,3,Entregado,4,False,2023-01-14 18:48:53.866773,1,1,2
ORD-00069,2023-01-10 22:19:10.790158,Ferretería,Córdoba,Rappi Envíos,0.16,3632.22,258.06,2,Cancelado,5,False,2023-01-15 22:19:10.790158,1,1,2
ORD-00070,2023-01-11 01:49:27.713542,Ferretería,GBA Norte,OCA,5.64,1247.39,1512.78,3,Cancelado,3,True,2023-01-14 01:49:27.713542,1,1,2
ORD-00071,2023-01-11 05:19:44.636927,Electrónica,CABA,Rappi Envíos,2.98,4298.69,1949.5,3,Entregado,2,True,2023-01-13 05:19:44.636927,1,1,2
ORD-00072,2023-01-11 08:50:01.560312,Farmacia,GBA Norte,Correo Argentino,2.01,698.84,786.55,2,Entregado,2,True,2023-01-13 08:50:01.560312,1,1,2
ORD-00073,2023-01-11 12:20:18.483696,Farmacia,GBA Oeste,Rappi Envíos,6.62,927.82,1717.61,3,Entregado,4,False,2023-01-15 12:20:18.483696,1,1,2
ORD-00074,2023-01-11 15:50:35.407081,Indumentaria,GBA Sur,Correo Argentino,5.6,3764.07,981.73,3,Entregado,2,True,2023-01-13 15:50:35.407081,1,1,2
ORD-00075,2023-01-11 19:20:52.330466,Farmacia,GBA Norte,Andreani,1.06,2682.63,1498.56,2,Devuelto,2,True,2023-01-13 19:20:52.330466,1,1,2
ORD-00076,2023-01-11 22:51:09.253850,Indumentaria,Rosario,Andreani,4.7,12079.36,1053.73,2,Entregado,2,True,2023-01-13 22:51:09.253850,1,1,2
ORD-00077,2023-01-12 02:21:26.177235,Electrónica,GBA Sur,PickIt,0.31,1215.39,863.84,2,Entregado,4,False,2023-01-16 02:21:26.177235,1,1,2
ORD-00078,2023-01-12 05:51:43.100620,Ferretería,CABA,Correo Argentino,5.19,1339.76,2161.4,5,Entregado,3,True,2023-01-15 05:51:43.100620,1,1,2
ORD-00079,2023-01-12 09:22:00.024004,Ferretería,Córdoba,Andreani,3.38,691.32,1921.52,2,Entregado,1,True,2023-01-13 09:22:00.024004,1,1,2
ORD-00080,2023-01-12 12:52:16.947389,Ferretería,Córdoba,Rappi Envíos,0.28,894.21,961.81,3,Entregado,4,False,2023-01-16 12:52:16.947389,1,1,2
ORD-00081,2023-01-12 16:22:33.870774,Farmacia,GBA Sur,OCA,3.45,3222.99,1171.38,7,Demorado,8,False,2023-01-20 16:22:33.870774,1,1,2
ORD-00082,2023-01-12 19:52:50.794158,Electrónica,Córdoba,OCA,2.61,1096.34,1775.5,3,Entregado,3,True,2023-01-15 19:52:50.794158,1,1,2
ORD-00083,2023-01-12 23:23:07.717543,Farmacia,GBA Norte,Correo Argentino,2.71,489.17,2056.04,1,Entregado,1,True,2023-01-13 23:23:07.717543,1,1,2
ORD-00084,2023-01-13 02:53:24.640928,Farmacia,GBA Sur,PickIt,1.03,752.91,1758.2,1,Entregado,2,False,2023-01-15 02:53:24.640928,1,1,2
ORD-00085,2023-01-13 06:23:41.564312,Electrónica,GBA Oeste,Rappi Envíos,0.93,1001.92,1421.19,2,Entregado,1,True,2023-01-14 06:23:41.564312,1,1,2
ORD-00086,2023-01-13 09:53:58.487697,Electrónica,GBA Norte,Correo Argentino,4.31,521.91,2392.81,2,Entregado,2,True,2023-01-15 09:53:58.487697,1,1,2
ORD-00087,2023-01-13 13:24:15.411082,Electrónica,GBA Norte,OCA,0.89,693.7,1969.24,5,Devuelto,4,True,2023-01-17 13:24:15.411082,1,1,2
ORD-00088,2023-01-13 16:54:32.334466,Electrónica,GBA Norte,Correo Argentino,1.77,403.51,421.64,2,Entregado,1,True,2023-01-14 16:54:32.334466,1,1,2
ORD-00089,2023-01-13 20:24:49.257851,Ferretería,GBA Oeste,Rappi Envíos,3.56,718.66,1461.63,3,Entregado,3,True,2023-01-16 20:24:49.257851,1,1,2
ORD-00090,2023-01-13 23:55:06.181236,Alimentos,CABA,Andreani,0.25,3519.97,1112.46,1,Entregado,1,True,2023-01-14 23:55:06.181236,1,1,2
ORD-00091,2023-01-14 03:25:23.104620,Alimentos,Rosario,Rappi Envíos,2.71,1151.0,2018.1,2,Entregado,2,True,2023-01-16 03:25:23.104620,1,1,2
ORD-00092,2023-01-14 06:55:40.028005,Electrónica,Córdoba,Andreani,2.67,12852.83,254.96,2,Entregado,1,True,2023-01-15 06:55:40.028005,1,1,2
ORD-00093,2023-01-14 10:25:56.951390,Alimentos,GBA Sur,Andreani,3.46,510.88,1115.2,2,Entregado,5,False,2023-01-19 10:25:56.951390,1,1,2
ORD-00094,2023-01-14 13:56:13.874774,Alimentos,CABA,Andreani,1.39,1782.01,897.95,2,Entregado,2,True,2023-01-16 13:56:13.874774,1,1,2
ORD-00095,2023-01-14 17:26:30.798159,Electrónica,GBA Sur,Correo Argentino,1.79,1369.51,481.79,3,Entregado,1,True,2023-01-15 17:26:30.798159,1,1,2
ORD-00096,2023-01-14 20:56:47.721544,Alimentos,Córdoba,OCA,1.2,2101.57,1040.19,3,Entregado,7,False,2023-01-21 20:56:47.721544,1,1,2
ORD-00097,2023-01-15 00:27:04.644928,Farmacia,GBA Oeste,Correo Argentino,4.95,598.2,1731.08,2,Entregado,1,True,2023-01-16 00:27:04.644928,1,1,2
ORD-00098,2023-01-15 03:57:21.568313,Indumentaria,GBA Norte,OCA,0.42,758.65,999.94,5,Entregado,7,False,2023-01-22 03:57:21.568313,1,1,2
ORD-00099,2023-01-15 07:27:38.491698,Indumentaria,GBA Norte,Rappi Envíos,9.89,1647.9,1513.02,2,Entregado,3,False,2023-01-18 07:27:38.491698,1,1,2
ORD-00100,2023-01-15 10:57:55.415083,Electrónica,GBA Oeste,PickIt,3.02,662.04,1543.11,2,En tránsito,3,False,2023-01-18 10:57:55.415083,1,1,2
ORD-00101,2023-01-15 14:28:12.338467,Ferretería,CABA,Rappi Envíos,6.54,186.15,1529.71,5,En tránsito,7,False,2023-01-22 14:28:12.338467,1,1,2
ORD-00102,2023-01-15 17:58:29.261852,Electrónica,CABA,Correo Argentino,1.67,4066.15,1394.4,7,Cancelado,4,True,2023-01-19 17:58:29.261852,1,1,2
ORD-00103,2023-01-15 21:28:46.185237,Ferretería,GBA Sur,Correo Argentino,1.21,2665.36,424.92,5,Entregado,6,False,2023-01-21 21:28:46.185237,1,1,2
ORD-00104,2023-01-16 00:59:03.108621,Indumentaria,GBA Oeste,OCA,6.93,722.6,663.37,2,Entregado,1,True,2023-01-17 00:59:03.108621,1,1,3
ORD-00105,2023-01-16 04:29:20.032006,Electrónica,CABA,Correo Argentino,0.31,1364.19,2030.16,7,Entregado,10,False,2023-01-26 04:29:20.032006,1,1,3
ORD-00106,2023-01-16 07:59:36.955391,Farmacia,GBA Oeste,Andreani,0.37,3001.39,1330.56,3,Entregado,1,True,2023-01-17 07:59:36.955391,1,1,3
ORD-00107,2023-01-16 11:29:53.878775,Alimentos,Córdoba,Correo Argentino,1.07,4205.81,1809.28,3,Entregado,4,False,2023-01-20 11:29:53.878775,1,1,3
ORD-00108,2023-01-16 15:00:10.802160,Ferretería,GBA Norte,OCA,9.64,1217.14,1489.29,7,Entregado,7,True,2023-01-23 15:00:10.802160,1,1,3
ORD-00109,2023-01-16 18:30:27.725545,Alimentos,GBA Norte,OCA,3.01,610.72,240.92,5,En tránsito,4,True,2023-01-20 18:30:27.725545,1,1,3
ORD-00110,2023-01-16 22:00:44.648929,Alimentos,GBA Norte,Andreani,2.42,4742.26,2021.1,3,Entregado,2,True,2023-01-18 22:00:44.648929,1,1,3
ORD-00111,2023-01-17 01:31:01.572314,Electrónica,GBA Oeste,OCA,3.67,1205.58,301.16,5,Cancelado,4,True,2023-01-21 01:31:01.572314,1,1,3
ORD-00112,2023-01-17 05:01:18.495699,Alimentos,GBA Oeste,PickIt,1.62,946.53,2366.46,3,Entregado,2,True,2023-01-19 05:01:18.495699,1,1,3
ORD-00113,2023-01-17 08:31:35.419083,Farmacia,GBA Sur,Rappi Envíos,4.26,1426.83,656.14,3,Entregado,2,True,2023-01-19 08:31:35.419083,1,1,3
ORD-00114,2023-01-17 12:01:52.342468,Alimentos,GBA Norte,Correo Argentino,1.5,3479.79,1354.15,2,Demorado,2,True,2023-01-19 12:01:52.342468,1,1,3
ORD-00115,2023-01-17 15:32:09.265853,Electrónica,GBA Sur,PickIt,5.25,1054.9,299.43,7,Entregado,8,False,2023-01-25 15:32:09.265853,1,1,3
ORD-00116,2023-01-17 19:02:26.189237,Farmacia,GBA Norte,Correo Argentino,0.93,2939.51,2253.09,3,Demorado,2,True,2023-01-19 19:02:26.189237,1,1,3
ORD-00117,2023-01-17 22:32:43.112622,Indumentaria,GBA Sur,PickIt,0.98,890.21,2452.86,5,Entregado,1,True,2023-01-18 22:32:43.112622,1,1,3
ORD-00118,2023-01-18 02:03:00.036007,Alimentos,GBA Sur,Correo Argentino,2.22,2016.37,493.79,3,Entregado,3,True,2023-01-21 02:03:00.036007,1,1,3
ORD-00119,2023-01-18 05:33:16.959391,Electrónica,Córdoba,Andreani,1.69,424.92,845.1,5,Entregado,6,False,2023-01-24 05:33:16.959391,1,1,3
ORD-00120,2023-01-18 09:03:33.882776,Indumentaria,GBA Sur,OCA,3.13,3195.85,187.3,3,Entregado,3,True,2023-01-21 09:03:33.882776,1,1,3
ORD-00121,2023-01-18 12:33:50.806161,Indumentaria,GBA Oeste,OCA,1.36,557.78,1999.37,3,Entregado,3,True,2023-01-21 12:33:50.806161,1,1,3
ORD-00122,2023-01-18 16:04:07.729545,Ferretería,GBA Sur,Andreani,0.79,1735.91,881.94,5,Entregado,6,False,2023-01-24 16:04:07.729545,1,1,3
ORD-00123,2023-01-18 19:34:24.652930,Farmacia,GBA Norte,PickIt,1.9,248.0,1533.77,2,Entregado,2,True,2023-01-20 19:34:24.652930,1,1,3
ORD-00124,2023-01-18 23:04:41.576315,Alimentos,GBA Sur,Rappi Envíos,2.47,1124.19,242.16,3,En tránsito,4,False,2023-01-22 23:04:41.576315,1,1,3
ORD-00125,2023-01-19 02:34:58.499699,Electrónica,CABA,PickIt,0.46,1323.62,1831.33,3,Devuelto,3,True,2023-01-22 02:34:58.499699,1,1,3
ORD-00126,2023-01-19 06:05:15.423084,Ferretería,Rosario,OCA,2.44,554.84,1394.1,2,Entregado,1,True,2023-01-20 06:05:15.423084,1,1,3
ORD-00127,2023-01-19 09:35:32.346469,Farmacia,GBA Norte,Rappi Envíos,1.15,982.62,1853.7,2,Entregado,3,False,2023-01-22 09:35:32.346469,1,1,3
ORD-00128,2023-01-19 13:05:49.269853,Ferretería,CABA,Correo Argentino,1.49,1425.25,2005.48,2,Entregado,1,True,2023-01-20 13:05:49.269853,1,1,3
ORD-00129,2023-01-19 16:36:06.193238,Farmacia,GBA Norte,Rappi Envíos,0.98,1926.13,359.72,2,En tránsito,1,True,2023-01-20 16:36:06.193238,1,1,3
ORD-00130,2023-01-19 20:06:23.116623,Farmacia,GBA Oeste,PickIt,8.04,1212.14,1508.52,5,Cancelado,5,True,2023-01-24 20:06:23.116623,1,1,3
ORD-00131,2023-01-19 23:36:40.040008,Alimentos,Rosario,Andreani,3.45,4156.56,1677.37,7,Entregado,8,False,2023-01-27 23:36:40.040008,1,1,3
ORD-00132,2023-01-20 03:06:56.963392,Farmacia,Rosario,Correo Argentino,0.91,3492.11,1364.29,5,Entregado,6,False,2023-01-26 03:06:56.963392,1,1,3
ORD-00133,2023-01-20 06:37:13.886777,Ferretería,GBA Oeste,PickIt,3.11,1063.56,578.66,1,Entregado,1,True,2023-01-21 06:37:13.886777,1,1,3
ORD-00134,2023-01-20 10:07:30.810162,Farmacia,Rosario,Correo Argentino,5.66,289.94,2019.65,5,Entregado,6,False,2023-01-26 10:07:30.810162,1,1,3
ORD-00135,2023-01-20 13:37:47.733546,Alimentos,GBA Oeste,Rappi Envíos,1.54,673.79,2494.03,3,Entregado,1,True,2023-01-21 13:37:47.733546,1,1,3
ORD-00136,2023-01-20 17:08:04.656931,Alimentos,CABA,OCA,5.32,118.02,2427.79,5,Entregado,5,True,2023-01-25 17:08:04.656931,1,1,3
ORD-00137,2023-01-20 20:38:21.580316,Ferretería,Córdoba,PickIt,0.5,913.12,1977.19,3,Entregado,4,False,2023-01-24 20:38:21.580316,1,1,3
ORD-00138,2023-01-21 00:08:38.503700,Indumentaria,GBA Norte,Andreani,5.19,4454.87,1132.55,1,Entregado,2,False,2023-01-23 00:08:38.503700,1,1,3
ORD-00139,2023-01-21 03:38:55.427085,Indumentaria,GBA Oeste,Rappi Envíos,2.33,2418.76,942.66,3,Demorado,4,False,2023-01-25 03:38:55.427085,1,1,3
ORD-00140,2023-01-21 07:09:12.350470,Farmacia,GBA Norte,PickIt,0.76,1192.15,311.08,3,Entregado,4,False,2023-01-25 07:09:12.350470,1,1,3
ORD-00141,2023-01-21 10:39:29.273854,Electrónica,CABA,Andreani,1.57,529.82,1128.27,5,Entregado,3,True,2023-01-24 10:39:29.273854,1,1,3
ORD-00142,2023-01-21 14:09:46.197239,Farmacia,Córdoba,PickIt,13.27,1239.3,516.71,5,Demorado,5,True,2023-01-26 14:09:46.197239,1,1,3
ORD-00143,2023-01-21 17:40:03.120624,Ferretería,CABA,Rappi Envíos,4.59,9239.36,747.69,3,Cancelado,1,True,2023-01-22 17:40:03.120624,1,1,3
ORD-00144,2023-01-21 21:10:20.044008,Ferretería,Rosario,PickIt,2.57,4854.68,2245.93,5,Entregado,2,True,2023-01-23 21:10:20.044008,1,1,3
ORD-00145,2023-01-22 00:40:36.967393,Ferretería,GBA Norte,Correo Argentino,0.37,943.6,2426.04,3,Entregado,4,False,2023-01-26 00:40:36.967393,1,1,3
ORD-00146,2023-01-22 04:10:53.890778,Ferretería,Córdoba,Rappi Envíos,1.62,249.15,2379.11,2,Entregado,4,False,2023-01-26 04:10:53.890778,1,1,3
ORD-00147,2023-01-22 07:41:10.814162,Ferretería,Rosario,PickIt,0.92,9977.58,604.39,3,Entregado,2,True,2023-01-24 07:41:10.814162,1,1,3
ORD-00148,2023-01-22 11:11:27.737547,Alimentos,Córdoba,OCA,0.22,529.09,2267.1,2,Entregado,2,True,2023-01-24 11:11:27.737547,1,1,3
ORD-00149,2023-01-22 14:41:44.660932,Indumentaria,Rosario,PickIt,2.34,1863.25,482.54,1,Entregado,1,True,2023-01-23 14:41:44.660932,1,1,3
ORD-00150,2023-01-22 18:12:01.584316,Ferretería,CABA,Correo Argentino,6.6,230.74,1343.0,2,Entregado,1,True,2023-01-23 18:12:01.584316,1,1,3
ORD-00151,2023-01-22 21:42:18.507701,Electrónica,GBA Oeste,Andreani,3.38,793.87,1662.61,2,Entregado,4,False,2023-01-26 21:42:18.507701,1,1,3
ORD-00152,2023-01-23 01:12:35.431086,Electrónica,GBA Norte,Andreani,0.86,229.8,1236.8,1,Entregado,1,True,2023-01-24 01:12:35.431086,1,1,4
ORD-00153,2023-01-23 04:42:52.354470,Electrónica,GBA Sur,Andreani,2.56,343.13,2386.82,5,Entregado,4,True,2023-01-27 04:42:52.354470,1,1,4
ORD-00154,2023-01-23 08:13:09.277855,Electrónica,GBA Sur,OCA,8.61,434.97,933.05,1,Entregado,2,False,2023-01-25 08:13:09.277855,1,1,4
ORD-00155,2023-01-23 11:43:26.201240,Alimentos,CABA,Correo Argentino,3.85,1766.94,1389.34,3,Entregado,1,True,2023-01-24 11:43:26.201240,1,1,4
ORD-00156,2023-01-23 15:13:43.124624,Electrónica,GBA Norte,Rappi Envíos,3.51,996.16,327.31,3,Entregado,4,False,2023-01-27 15:13:43.124624,1,1,4
