order_id,fecha_pedido,fecha_entrega,mes,trimestre,semana_año,producto_categoria,zona_destino,carrier,estado,peso_kg,valor_mercaderia,costo_envio,costo_por_kg,costo_pct_valor,dias_prometidos,dias_reales,demora_dias,entrega_a_tiempo,es_devolucion
ORD-00024,2023-01-04 08:36:29.237847,2023-01-07 08:36:29.237847,1,1,2023-W01,Electrónica,Rosario,Rappi Envíos,Entregado,1.16,805.56,792.33,683.04,98.36,5,3,-2,True,False
ORD-00025,2023-01-04 12:06:46.161232,2023-01-07 12:06:46.161232,1,1,2023-W01,Electrónica,GBA Oeste,Correo Argentino,Entregado,0.11,333.82,239.98,2181.64,71.89,3,3,0,True,False
ORD-00026,2023-01-04 15:37:03.084616,2023-01-05 15:37:03.084616,1,1,2023-W01,Alimentos,GBA Norte,Rappi Envíos,Entregado,1.34,739.22,566.5,422.76,76.63,1,1,0,True,False
ORD-00027,2023-01-04 19:07:20.008001,2023-01-09 19:07:20.008001,1,1,2023-W01,Alimentos,Rosario,Rappi Envíos,Entregado,0.1,1894.7,1678.67,16786.7,88.6,3,5,2,False,False
ORD-00028,2023-01-04 22:37:36.931386,2023-01-13 22:37:36.931386,1,1,2023-W01,Indumentaria,GBA Norte,Rappi Envíos,Entregado,0.64,944.55,1321.99,2065.61,139.96,7,9,2,False,False
ORD-00029,2023-01-05 02:07:53.854770,2023-01-08 02:07:53.854770,1,1,2023-W01,Ferretería,Córdoba,Andreani,Demorado,4.19,663.31,2023.72,482.99,305.09,2,3,1,False,False
ORD-00030,2023-01-05 05:38:10.778155,2023-01-06 05:38:10.778155,1,1,2023-W01,Ferretería,Rosario,PickIt,Entregado,8.3,312.69,293.92,35.41,94.0,2,1,-1,True,False
ORD-00031,2023-01-05 09:08:27.701540,2023-01-07 09:08:27.701540,1,1,2023-W01,Alimentos,GBA Oeste,Correo Argentino,Entregado,0.27,949.62,2238.91,8292.26,235.77,3,2,-1,True,False
ORD-00032,2023-01-05 12:38:44.624924,2023-01-06 12:38:44.624924,1,1,2023-W01,Ferretería,Rosario,PickIt,Entregado,2.45,1377.34,2491.54,1016.96,180.9,2,1,-1,True,False
ORD-00033,2023-01-05 16:09:01.548309,2023-01-13 16:09:01.548309,1,1,2023-W01,Ferretería,Córdoba,OCA,Entregado,0.88,400.46,186.99,212.49,46.69,7,8,1,False,False
ORD-00034,2023-01-05 19:39:18.471694,2023-01-07 19:39:18.471694,1,1,2023-W01,Electrónica,GBA Sur,Correo Argentino,En tránsito,0.45,907.52,2423.95,5386.56,267.1,3,2,-1,True,False
ORD-00035,2023-01-05 23:09:35.395079,2023-01-06 23:09:35.395079,1,1,2023-W01,Alimentos,GBA Norte,PickIt,Demorado,0.74,367.27,704.28,951.73,191.76,3,1,-2,True,False
ORD-00036,2023-01-06 02:39:52.318463,2023-01-09 02:39:52.318463,1,1,2023-W01,Farmacia,Córdoba,PickIt,Entregado,2.59,964.13,1777.48,686.29,184.36,2,3,1,False,False
ORD-00037,2023-01-06 06:10:09.241848,2023-01-09 06:10:09.241848,1,1,2023-W01,Alimentos,GBA Sur,OCA,Demorado,0.2,6157.93,837.34,4186.7,13.6,2,3,1,False,False
ORD-00038,2023-01-06 09:40:26.165233,2023-01-07 09:40:26.165233,1,1,2023-W01,Farmacia,Rosario,Rappi Envíos,Entregado,1.71,1302.07,1376.26,804.83,105.7,2,1,-1,True,False
ORD-00039,2023-01-06 13:10:43.088617,2023-01-09 13:10:43.088617,1,1,2023-W01,Electrónica,Rosario,Correo Argentino,En tránsito,0.44,225.52,1349.48,3067.0,598.39,3,3,0,True,False
ORD-00040,2023-01-06 16:41:00.012002,2023-01-12 16:41:00.012002,1,1,2023-W01,Indumentaria,Córdoba,Correo Argentino,Entregado,0.96,1527.11,998.6,1040.21,65.39,3,6,3,False,False
ORD-00041,2023-01-06 20:11:16.935387,2023-01-08 20:11:16.935387,1,1,2023-W01,Ferretería,GBA Oeste,OCA,Entregado,0.63,4071.69,1836.23,2914.65,45.1,1,2,1,False,False
ORD-00042,2023-01-06 23:41:33.858771,2023-01-10 23:41:33.858771,1,1,2023-W01,Electrónica,Rosario,Rappi Envíos,Entregado,6.44,274.77,1559.15,242.1,567.44,5,4,-1,True,False
ORD-00043,2023-01-07 03:11:50.782156,2023-01-12 03:11:50.782156,1,1,2023-W01,Ferretería,GBA Oeste,Correo Argentino,Entregado,3.69,385.49,1344.45,364.35,348.76,3,5,2,False,False
ORD-00044,2023-01-07 06:42:07.705541,2023-01-10 06:42:07.705541,1,1,2023-W01,Indumentaria,GBA Oeste,Correo Argentino,Demorado,6.09,1419.91,2459.67,403.89,173.23,2,3,1,False,False
ORD-00045,2023-01-07 10:12:24.628925,2023-01-10 10:12:24.628925,1,1,2023-W01,Indumentaria,GBA Oeste,Correo Argentino,Entregado,1.45,1005.14,2359.02,1626.91,234.7,1,3,2,False,False
ORD-00046,2023-01-07 13:42:41.552310,2023-01-08 13:42:41.552310,1,1,2023-W01,Electrónica,CABA,Rappi Envíos,Entregado,1.13,3681.85,2395.27,2119.71,65.06,1,1,0,True,False
ORD-00047,2023-01-07 17:12:58.475695,2023-01-08 17:12:58.475695,1,1,2023-W01,Indumentaria,GBA Sur,OCA,Devuelto,1.44,915.4,2221.11,1542.44,242.64,2,1,-1,True,True
ORD-00048,2023-01-07 20:43:15.399079,2023-01-10 20:43:15.399079,1,1,2023-W01,Farmacia,GBA Sur,Correo Argentino,Entregado,0.1,2503.51,749.62,7496.2,29.94,3,3,0,True,False
ORD-00049,2023-01-08 00:13:32.322464,2023-01-11 00:13:32.322464,1,1,2023-W01,Indumentaria,Rosario,PickIt,Entregado,3.87,5054.85,972.44,251.28,19.24,5,3,-2,True,False
ORD-00050,2023-01-08 03:43:49.245849,2023-01-17 03:43:49.245849,1,1,2023-W01,Ferretería,Rosario,Rappi Envíos,Demorado,1.29,460.55,692.98,537.19,150.47,7,9,2,False,False
ORD-00051,2023-01-08 07:14:06.169233,2023-01-12 07:14:06.169233,1,1,2023-W01,Ferretería,GBA Oeste,Andreani,Demorado,1.13,2316.17,2467.52,2183.65,106.53,5,4,-1,True,False
ORD-00052,2023-01-08 10:44:23.092618,2023-01-10 10:44:23.092618,1,1,2023-W01,Ferretería,CABA,OCA,Entregado,2.73,734.46,508.76,186.36,69.27,2,2,0,True,False
ORD-00053,2023-01-08 14:14:40.016003,2023-01-13 14:14:40.016003,1,1,2023-W01,Ferretería,GBA Oeste,PickIt,Entregado,1.72,119.67,1011.3,587.97,845.07,2,5,3,False,False
ORD-00054,2023-01-08 17:44:56.939387,2023-01-14 17:44:56.939387,1,1,2023-W01,Farmacia,CABA,Correo Argentino,Devuelto,11.87,1765.83,617.75,52.04,34.98,7,6,-1,True,True
ORD-00055,2023-01-08 21:15:13.862772,2023-01-11 21:15:13.862772,1,1,2023-W01,Alimentos,GBA Oeste,Andreani,Entregado,1.32,1997.08,675.12,511.45,33.81,3,3,0,True,False
ORD-00056,2023-01-09 00:45:30.786157,2023-01-10 00:45:30.786157,1,1,2023-W02,Electrónica,GBA Norte,OCA,Entregado,2.85,232.93,730.66,256.37,313.68,2,1,-1,True,False
ORD-00057,2023-01-09 04:15:47.709541,2023-01-11 04:15:47.709541,1,1,2023-W02,Ferretería,GBA Norte,Rappi Envíos,Entregado,1.12,696.5,1653.23,1476.1,237.36,2,2,0,True,False
ORD-00058,2023-01-09 07:46:04.632926,2023-01-12 07:46:04.632926,1,1,2023-W02,Indumentaria,Córdoba,Andreani,Entregado,14.0,588.16,328.72,23.48,55.89,3,3,0,True,False
ORD-00059,2023-01-09 11:16:21.556311,2023-01-13 11:16:21.556311,1,1,2023-W02,Ferretería,GBA Oeste,Andreani,Entregado,1.77,2465.1,1495.45,844.89,60.66,3,4,1,False,False
ORD-00060,2023-01-09 14:46:38.479695,2023-01-16 14:46:38.479695,1,1,2023-W02,Indumentaria,Rosario,PickIt,En tránsito,3.02,232.95,2075.32,687.19,890.89,5,7,2,False,False
ORD-00061,2023-01-09 18:16:55.403080,2023-01-11 18:16:55.403080,1,1,2023-W02,Indumentaria,GBA Sur,OCA,Entregado,0.41,1220.19,1951.33,4759.34,159.92,2,2,0,True,False
ORD-00062,2023-01-09 21:47:12.326465,2023-01-11 21:47:12.326465,1,1,2023-W02,Ferretería,Córdoba,PickIt,Demorado,3.96,105.67,505.25,127.59,478.14,1,2,1,False,False
ORD-00063,2023-01-10 01:17:29.249849,2023-01-13 01:17:29.249849,1,1,2023-W02,Farmacia,Rosario,PickIt,Entregado,0.94,1602.8,2299.62,2446.4,143.48,3,3,0,True,False
ORD-00064,2023-01-10 04:47:46.173234,2023-01-14 04:47:46.173234,1,1,2023-W02,Indumentaria,GBA Norte,Correo Argentino,Entregado,1.79,1242.81,1959.71,1094.81,157.68,2,4,2,False,False
ORD-00065,2023-01-10 08:18:03.096619,2023-01-11 08:18:03.096619,1,1,2023-W02,Indumentaria,GBA Oeste,Rappi Envíos,Entregado,6.44,657.89,162.46,25.23,24.69,3,1,-2,True,False
ORD-00066,2023-01-10 11:48:20.020004,2023-01-13 11:48:20.020004,1,1,2023-W02,Ferretería,Córdoba,Andreani,En tránsito,10.58,4574.7,1882.83,177.96,41.16,3,3,0,True,False
ORD-00067,2023-01-10 15:18:36.943388,2023-01-13 15:18:36.943388,1,1,2023-W02,Indumentaria,GBA Oeste,OCA,Entregado,1.66,79.59,1882.94,1134.3,2365.8,2,3,1,False,False
ORD-00068,2023-01-10 18:48:53.866773,2023-01-14 18:48:53.866773,1,1,2023-W02,Indumentaria,GBA Norte,Rappi Envíos,Entregado,5.4,1076.9,1317.52,243.99,122.34,3,4,1,False,False
ORD-00069,2023-01-10 22:19:10.790158,2023-01-15 22:19:10.790158,1,1,2023-W02,Ferretería,Córdoba,Rappi Envíos,Cancelado,0.16,3632.22,258.06,1612.88,7.1,2,5,3,False,False
ORD-00070,2023-01-11 01:49:27.713542,2023-01-14 01:49:27.713542,1,1,2023-W02,Ferretería,GBA Norte,OCA,Cancelado,5.64,1247.39,1512.78,268.22,121.28,3,3,0,True,False
ORD-00071,2023-01-11 05:19:44.636927,2023-01-13 05:19:44.636927,1,1,2023-W02,Electrónica,CABA,Rappi Envíos,Entregado,2.98,4298.69,1949.5,654.19,45.35,3,2,-1,True,False
ORD-00072,2023-01-11 08:50:01.560312,2023-01-13 08:50:01.560312,1,1,2023-W02,Farmacia,GBA Norte,Correo Argentino,Entregado,2.01,698.84,786.55,391.32,112.55,2,2,0,True,False
ORD-00073,2023-01-11 12:20:18.483696,2023-01-15 12:20:18.483696,1,1,2023-W02,Farmacia,GBA Oeste,Rappi Envíos,Entregado,6.62,927.82,1717.61,259.46,185.12,3,4,1,False,False
ORD-00074,2023-01-11 15:50:35.407081,2023-01-13 15:50:35.407081,1,1,2023-W02,Indumentaria,GBA Sur,Correo Argentino,Entregado,5.6,3764.07,981.73,175.31,26.08,3,2,-1,True,False
ORD-00075,2023-01-11 19:20:52.330466,2023-01-13 19:20:52.330466,1,1,2023-W02,Farmacia,GBA Norte,Andreani,Devuelto,1.06,2682.63,1498.56,1413.74,55.86,2,2,0,True,True
ORD-00076,2023-01-11 22:51:09.253850,2023-01-13 22:51:09.253850,1,1,2023-W02,Indumentaria,Rosario,Andreani,Entregado,4.7,12079.36,1053.73,224.2,8.72,2,2,0,True,False
ORD-00077,2023-01-12 02:21:26.177235,2023-01-16 02:21:26.177235,1,1,2023-W02,Electrónica,GBA Sur,PickIt,Entregado,0.31,1215.39,863.84,2786.58,71.08,2,4,2,False,False
ORD-00078,2023-01-12 05:51:43.100620,2023-01-15 05:51:43.100620,1,1,2023-W02,Ferretería,CABA,Correo Argentino,Entregado,5.19,1339.76,2161.4,416.45,161.33,5,3,-2,True,False
ORD-00079,2023-01-12 09:22:00.024004,2023-01-13 09:22:00.024004,1,1,2023-W02,Ferretería,Córdoba,Andreani,Entregado,3.38,691.32,1921.52,568.5,277.95,2,1,-1,True,False
ORD-00080,2023-01-12 12:52:16.947389,2023-01-16 12:52:16.947389,1,1,2023-W02,Ferretería,Córdoba,Rappi Envíos,Entregado,0.28,894.21,961.81,3435.04,107.56,3,4,1,False,False
ORD-00081,2023-01-12 16:22:33.870774,2023-01-20 16:22:33.870774,1,1,2023-W02,Farmacia,GBA Sur,OCA,Demorado,3.45,3222.99,1171.38,339.53,36.34,7,8,1,False,False
ORD-00082,2023-01-12 19:52:50.794158,2023-01-15 19:52:50.794158,1,1,2023-W02,Electrónica,Córdoba,OCA,Entregado,2.61,1096.34,1775.5,680.27,161.95,3,3,0,True,False
ORD-00083,2023-01-12 23:23:07.717543,2023-01-13 23:23:07.717543,1,1,2023-W02,Farmacia,GBA Norte,Correo Argentino,Entregado,2.71,489.17,2056.04,758.69,420.31,1,1,0,True,False
ORD-00084,2023-01-13 02:53:24.640928,2023-01-15 02:53:24.640928,1,1,2023-W02,Farmacia,GBA Sur,PickIt,Entregado,1.03,752.91,1758.2,1706.99,233.52,1,2,1,False,False
ORD-00085,2023-01-13 06:23:41.564312,2023-01-14 06:23:41.564312,1,1,2023-W02,Electrónica,GBA Oeste,Rappi Envíos,Entregado,0.93,1001.92,1421.19,1528.16,141.85,2,1,-1,True,False
ORD-00086,2023-01-13 09:53:58.487697,2023-01-15 09:53:58.487697,1,1,2023-W02,Electrónica,GBA Norte,Correo Argentino,Entregado,4.31,521.91,2392.81,555.18,458.47,2,2,0,True,False
ORD-00087,2023-01-13 13:24:15.411082,2023-01-17 13:24:15.411082,1,1,2023-W02,Electrónica,GBA Norte,OCA,Devuelto,0.89,693.7,1969.24,2212.63,283.87,5,4,-1,True,True
ORD-00088,2023-01-13 16:54:32.334466,2023-01-14 16:54:32.334466,1,1,2023-W02,Electrónica,GBA Norte,Correo Argentino,Entregado,1.77,403.51,421.64,238.21,104.49,2,1,-1,True,False
ORD-00089,2023-01-13 20:24:49.257851,2023-01-16 20:24:49.257851,1,1,2023-W02,Ferretería,GBA Oeste,Rappi Envíos,Entregado,3.56,718.66,1461.63,410.57,203.38,3,3,0,True,False
ORD-00090,2023-01-13 23:55:06.181236,2023-01-14 23:55:06.181236,1,1,2023-W02,Alimentos,CABA,Andreani,Entregado,0.25,3519.97,1112.46,4449.84,31.6,1,1,0,True,False
ORD-00091,2023-01-14 03:25:23.104620,2023-01-16 03:25:23.104620,1,1,2023-W02,Alimentos,Rosario,Rappi Envíos,Entregado,2.71,1151.0,2018.1,744.69,175.33,2,2,0,True,False
ORD-00092,2023-01-14 06:55:40.028005,2023-01-15 06:55:40.028005,1,1,2023-W02,Electrónica,Córdoba,Andreani,Entregado,2.67,12852.83,254.96,95.49,1.98,2,1,-1,True,False
ORD-00093,2023-01-14 10:25:56.951390,2023-01-19 10:25:56.951390,1,1,2023-W02,Alimentos,GBA Sur,Andreani,Entregado,3.46,510.88,1115.2,322.31,218.29,2,5,3,False,False
ORD-00094,2023-01-14 13:56:13.874774,2023-01-16 13:56:13.874774,1,1,2023-W02,Alimentos,CABA,Andreani,Entregado,1.39,1782.01,897.95,646.01,50.39,2,2,0,True,False
ORD-00095,2023-01-14 17:26:30.798159,2023-01-15 17:26:30.798159,1,1,2023-W02,Electrónica,GBA Sur,Correo Argentino,Entregado,1.79,1369.51,481.79,269.16,35.18,3,1,-2,True,False
ORD-00096,2023-01-14 20:56:47.721544,2023-01-21 20:56:47.721544,1,1,2023-W02,Alimentos,Córdoba,OCA,Entregado,1.2,2101.57,1040.19,866.82,49.5,3,7,4,False,False
ORD-00097,2023-01-15 00:27:04.644928,2023-01-16 00:27:04.644928,1,1,2023-W02,Farmacia,GBA Oeste,Correo Argentino,Entregado,4.95,598.2,1731.08,349.71,289.38,2,1,-1,True,False
ORD-00098,2023-01-15 03:57:21.568313,2023-01-22 03:57:21.568313,1,1,2023-W02,Indumentaria,GBA Norte,OCA,Entregado,0.42,758.65,999.94,2380.81,131.81,5,7,2,False,False
ORD-00099,2023-01-15 07:27:38.491698,2023-01-18 07:27:38.491698,1,1,2023-W02,Indumentaria,GBA Norte,Rappi Envíos,Entregado,9.89,1647.9,1513.02,152.98,91.82,2,3,1,False,False
ORD-00100,2023-01-15 10:57:55.415083,2023-01-18 10:57:55.415083,1,1,2023-W02,Electrónica,GBA Oeste,PickIt,En tránsito,3.02,662.04,1543.11,510.96,233.08,2,3,1,False,False
ORD-00101,2023-01-15 14:28:12.338467,2023-01-22 14:28:12.338467,1,1,2023-W02,Ferretería,CABA,Rappi Envíos,En tránsito,6.54,186.15,1529.71,233.9,821.76,5,7,2,False,False
ORD-00102,2023-01-15 17:58:29.261852,2023-01-19 17:58:29.261852,1,1,2023-W02,Electrónica,CABA,Correo Argentino,Cancelado,1.67,4066.15,1394.4,834.97,34.29,7,4,-3,True,False
ORD-00103,2023-01-15 21:28:46.185237,2023-01-21 21:28:46.185237,1,1,2023-W02,Ferretería,GBA Sur,Correo Argentino,Entregado,1.21,2665.36,424.92,351.17,15.94,5,6,1,False,False
ORD-00104,2023-01-16 00:59:03.108621,2023-01-17 00:59:03.108621,1,1,2023-W03,Indumentaria,GBA Oeste,OCA,Entregado,6.93,722.6,663.37,95.72,91.8,2,1,-1,True,False
ORD-00105,2023-01-16 04:29:20.032006,2023-01-26 04:29:20.032006,1,1,2023-W03,Electrónica,CABA,Correo Argentino,Entregado,0.31,1364.19,2030.16,6548.9,148.82,7,10,3,False,False
ORD-00106,2023-01-16 07:59:36.955391,2023-01-17 07:59:36.955391,1,1,2023-W03,Farmacia,GBA Oeste,Andreani,Entregado,0.37,3001.39,1330.56,3596.11,44.33,3,1,-2,True,False
ORD-00107,2023-01-16 11:29:53.878775,2023-01-20 11:29:53.878775,1,1,2023-W03,Alimentos,Córdoba,Correo Argentino,Entregado,1.07,4205.81,1809.28,1690.92,43.02,3,4,1,False,False
ORD-00108,2023-01-16 15:00:10.802160,2023-01-23 15:00:10.802160,1,1,2023-W03,Ferretería,GBA Norte,OCA,Entregado,9.64,1217.14,1489.29,154.49,122.36,7,7,0,True,False
ORD-00109,2023-01-16 18:30:27.725545,2023-01-20 18:30:27.725545,1,1,2023-W03,Alimentos,GBA Norte,OCA,En tránsito,3.01,610.72,240.92,80.04,39.45,5,4,-1,True,False
ORD-00110,2023-01-16 22:00:44.648929,2023-01-18 22:00:44.648929,1,1,2023-W03,Alimentos,GBA Norte,Andreani,Entregado,2.42,4742.26,2021.1,835.17,42.62,3,2,-1,True,False
ORD-00111,2023-01-17 01:31:01.572314,2023-01-21 01:31:01.572314,1,1,2023-W03,Electrónica,GBA Oeste,OCA,Cancelado,3.67,1205.58,301.16,82.06,24.98,5,4,-1,True,False
ORD-00112,2023-01-17 05:01:18.495699,2023-01-19 05:01:18.495699,1,1,2023-W03,Alimentos,GBA Oeste,PickIt,Entregado,1.62,946.53,2366.46,1460.78,250.01,3,2,-1,True,False
ORD-00113,2023-01-17 08:31:35.419083,2023-01-19 08:31:35.419083,1,1,2023-W03,Farmacia,GBA Sur,Rappi Envíos,Entregado,4.26,1426.83,656.14,154.02,45.99,3,2,-1,True,False
ORD-00114,2023-01-17 12:01:52.342468,2023-01-19 12:01:52.342468,1,1,2023-W03,Alimentos,GBA Norte,Correo Argentino,Demorado,1.5,3479.79,1354.15,902.77,38.91,2,2,0,True,False
ORD-00115,2023-01-17 15:32:09.265853,2023-01-25 15:32:09.265853,1,1,2023-W03,Electrónica,GBA Sur,PickIt,Entregado,5.25,1054.9,299.43,57.03,28.38,7,8,1,False,False
ORD-00116,2023-01-17 19:02:26.189237,2023-01-19 19:02:26.189237,1,1,2023-W03,Farmacia,GBA Norte,Correo Argentino,Demorado,0.93,2939.51,2253.09,2422.68,76.65,3,2,-1,True,False
ORD-00117,2023-01-17 22:32:43.112622,2023-01-18 22:32:43.112622,1,1,2023-W03,Indumentaria,GBA Sur,PickIt,Entregado,0.98,890.21,2452.86,2502.92,275.54,5,1,-4,True,False
ORD-00118,2023-01-18 02:03:00.036007,2023-01-21 02:03:00.036007,1,1,2023-W03,Alimentos,GBA Sur,Correo Argentino,Entregado,2.22,2016.37,493.79,222.43,24.49,3,3,0,True,False
ORD-00119,2023-01-18 05:33:16.959391,2023-01-24 05:33:16.959391,1,1,2023-W03,Electrónica,Córdoba,Andreani,Entregado,1.69,424.92,845.1,500.06,198.88,5,6,1,False,False
ORD-00120,2023-01-18 09:03:33.882776,2023-01-21 09:03:33.882776,1,1,2023-W03,Indumentaria,GBA Sur,OCA,Entregado,3.13,3195.85,187.3,59.84,5.86,3,3,0,True,False
ORD-00121,2023-01-18 12:33:50.806161,2023-01-21 12:33:50.806161,1,1,2023-W03,Indumentaria,GBA Oeste,OCA,Entregado,1.36,557.78,1999.37,1470.12,358.45,3,3,0,True,False
ORD-00122,2023-01-18 16:04:07.729545,2023-01-24 16:04:07.729545,1,1,2023-W03,Ferretería,GBA Sur,Andreani,Entregado,0.79,1735.91,881.94,1116.38,50.81,5,6,1,False,False
ORD-00123,2023-01-18 19:34:24.652930,2023-01-20 19:34:24.652930,1,1,2023-W03,Farmacia,GBA Norte,PickIt,Entregado,1.9,248.0,1533.77,807.25,618.46,2,2,0,True,False
ORD-00124,2023-01-18 23:04:41.576315,2023-01-22 23:04:41.576315,1,1,2023-W03,Alimentos,GBA Sur,Rappi Envíos,En tránsito,2.47,1124.19,242.16,98.04,21.54,3,4,1,False,False
ORD-00125,2023-01-19 02:34:58.499699,2023-01-22 02:34:58.499699,1,1,2023-W03,Electrónica,CABA,PickIt,Devuelto,0.46,1323.62,1831.33,3981.15,138.36,3,3,0,True,True
ORD-00126,2023-01-19 06:05:15.423084,2023-01-20 06:05:15.423084,1,1,2023-W03,Ferretería,Rosario,OCA,Entregado,2.44,554.84,1394.1,571.35,251.26,2,1,-1,True,False
ORD-00127,2023-01-19 09:35:32.346469,2023-01-22 09:35:32.346469,1,1,2023-W03,Farmacia,GBA Norte,Rappi Envíos,Entregado,1.15,982.62,1853.7,1611.91,188.65,2,3,1,False,False
ORD-00128,2023-01-19 13:05:49.269853,2023-01-20 13:05:49.269853,1,1,2023-W03,Ferretería,CABA,Correo Argentino,Entregado,1.49,1425.25,2005.48,1345.96,140.71,2,1,-1,True,False
ORD-00129,2023-01-19 16:36:06.193238,2023-01-20 16:36:06.193238,1,1,2023-W03,Farmacia,GBA Norte,Rappi Envíos,En tránsito,0.98,1926.13,359.72,367.06,18.68,2,1,-1,True,False
ORD-00130,2023-01-19 20:06:23.116623,2023-01-24 20:06:23.116623,1,1,2023-W03,Farmacia,GBA Oeste,PickIt,Cancelado,8.04,1212.14,1508.52,187.63,124.45,5,5,0,True,False
